claimID,employer,employercity,employerstate,employerzip,gender,hispanic,asian,claim_amount,case_open,valid,invalid,verified_claim,case_close,first_response,formal_investigate,wage_order,total_rec,wage_rec,duration
LLVA62710,CHICOS NATURAL PET MARKET,FALLS CHURCH,VA,22041,female,FALSE,FALSE,1035,2018-07-09,FALSE,FALSE,0,2018-07-13,FALSE,FALSE,FALSE,0,0,4
LLVA62711,HOMEWOOD SUITES,CHARLOTTESVILLE,VA,22901,male,FALSE,FALSE,425,2018-06-27,FALSE,FALSE,0,2018-08-17,FALSE,FALSE,FALSE,0,0,51
LLVA62715,REGAL MOVING SERVICES,STERLING,VA,20166,male,FALSE,FALSE,575,2018-06-27,FALSE,FALSE,575,2018-08-10,FALSE,FALSE,FALSE,0,0,44
LLVA62716,STAN BURKE,STERLING,VA,20166,male,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,0,2018-08-10,FALSE,FALSE,FALSE,0,0,44
LLVA62717,POPEYES,RICHMOND,VA,23294,NA,FALSE,FALSE,437.79,2018-07-09,FALSE,FALSE,0,2018-07-12,FALSE,FALSE,FALSE,0,0,3
LLVA62718,LORILAR ENTERPRISES INC,NORFOLK,VA,23510,NA,FALSE,TRUE,1700,2018-07-06,FALSE,FALSE,0,2018-07-13,FALSE,FALSE,FALSE,0,0,7
LLVA62719,SWANSON SERVICE LLC,RICHMOND,VA,23219,female,FALSE,FALSE,560,2018-06-27,FALSE,FALSE,200,2018-07-10,FALSE,FALSE,FALSE,0,0,13
LLVA62720,MOSS CONSTRUCTION COMPANY,CHANTILLY,VA,20151,male,TRUE,FALSE,3596.15,2018-06-27,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,FALSE,0,0,0
LLVA62721,BREEDEN MECHANICAL,MANASSAS,VA,20109,male,FALSE,FALSE,648,2018-06-27,FALSE,FALSE,0,2018-07-25,FALSE,FALSE,FALSE,0,0,28
LLVA62722,SWEET GRACE HOME HEALTH AGENCY,NA,NA,NA,female,FALSE,FALSE,580,2018-06-27,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,FALSE,0,0,0
LLVA62723,DAYS INN,BEDFORD,VA,24523,female,FALSE,FALSE,148,2018-06-27,FALSE,FALSE,148,2018-07-16,FALSE,FALSE,FALSE,0,0,19
LLVA62724,CLAY TRUCKING,EMPORIA,VA,23847,male,FALSE,FALSE,900,2018-07-09,FALSE,FALSE,0,2018-08-17,FALSE,FALSE,FALSE,0,0,39
LLVA62725,SOUTHERN GRACE SERVICES LLC,NEWPORT NEWS,VA,23612,male,FALSE,FALSE,717.6,2018-06-27,FALSE,FALSE,143.87,2018-09-07,FALSE,FALSE,FALSE,0,0,72
LLVA62726,ADVANCED WINDOW TINT CO/RPM,RICHMOND,VA,23230,male,FALSE,FALSE,1265,2018-07-09,FALSE,FALSE,0,2018-09-10,FALSE,FALSE,FALSE,0,0,63
